manufacturer_id,manufacturer_name,manufacturer_recall_count
196,Cordis Europa N.V || Cordis Corporation,1.0
197,Carl Zeiss Meditec Ag,1.0
198,Cereplas,1.0
199,Changzhou Hengjie Medical Devices Co.Ltd.,1.0
200,THE BINDING SITE GROUP LIMITED || Importer: QUIMIOLAB  LTDA,1.0
201,"Sunrise Medical Limited || Sunrise Medical (Us) Llc || Sunrise Medical Tecnologias S.A De C.V || Sunrise Medical Gmbh & Co. Kg || Zhongshan A&E Machinery Industry Co.,Ltd. || Sunrise Medical S.L..",1.0
202,Codan Argus AG,1.0
203,Codan Argus Ag,1.0
204,Coloplast A/S,2.0
205,BIOFIRE DIAGNOSTICS LLC || Importer: BIOMERIEUX COLOMBIA S.A.S.,1.0
206,BioMérieux,1.0
207,BIOMERIEUX  FRANCIA || Importer: BIOMERIEUX  COLOMBIA LTDA,1.0
208,BIOMERIEUX  INC || Imported by:    BIOMERIEUX    COLOMBIA || S.A.S,1.0
209,Biomerieux  S.A,2.0
210,Biomerieux  S.A.,1.0
211,BIOMERIEUX BRASIL S.A.,1.0
212,BIOMERIEUX BRASIL Y FRANCIA || Importer: BIOMERIEUX COLOMBIA LTDA,1.0
213,BIOMERIEUX BV || Importer: BIOMERIEUX COLOMBIA LTDA,1.0
214,BIOMERIEUX INC. || Imported by: BIOMERIEUX COLOMBIA LTDA.,2.0
215,Biomerieux S.A,3.0
216,BIOMERIEUX S.A || Importer BIOMERIEUX COLOMBIA S.A.S,1.0
217,BIOMERIEUX S.A || Importer:  BIOMERIEUX COLOMBIA,1.0
218,BIOMERIEUX S.A || Importer: BIO MERIEUX COLOMBIA,1.0
219,BIOMERIEUX S.A || Importer: BIOMERIEUX COLOMBIA LTDA,1.0
220,BioMérieux S.A || Importer: BIOMERIEUX COLOMBIA LTDA,1.0
221,BIOMERIEUX S.A || Importer: BIOMERIEUX S.A,2.0
222,BIOMERIEUX S.A || Imported by:  BIOMERIEUX  COLOMBIA || S.A.S,1.0
223,BIOMERIEUX S.A || Imported by:    BIO MERIEUX COLOMBIA LTDA.,1.0
224,BIOMERIEUX S.A FRANCIA || Importer: BIOMERIEUX COLOMBIA SAS,2.0
225,Biomerieux S.A.,2.0
226,BIOMERIEUX S.A.,1.0
227,Biomerieux S.A. || Biomerieux Italia Spa,1.0
228,BIOMERIEUX S.A. || Importer: BIOMERIEUX COLOMBIA S.A.S,1.0
229,BIOMERIEUX S.A. || Imported by:  BIOMERIEUX  COLOMBIA,1.0
230,"Biomerieux, INC",1.0
231,"BIOMERIEUX, INC / BIO MERIEUX COLOMBIA SAS",1.0
232,"Biomerieux, Inc || Biomerieux Bv",1.0
233,BIOMERIUEUX S.A,2.0
234,BIOMERIUX S.A CON DOMICILIO EN FRANCIA || Imported by: BIOMERIEUX COLOMBIA S.A.S.,1.0
235,Biomeriux S.A.,1.0
236,Conmed Corporation,1.0
237,Conmed Corporation || Conmed Electrosurgery || Conmed Corporation || Consolidated Medical Equipment Company,1.0
238,"Endoscopic Technologies, Inc.",1.0
239,Cook Endoscopy || Cook Irland,1.0
240,Cook Ireland Ltd || William Cook Europe Spa,1.0
241,William A. Cook Australia Pty Ltd,1.0
242,William Cook Europe Aps,1.0
243,Wilson Cook Medical / Cook Endoscopy,1.0
244,Corin Limited,1.0
245,Corin Limited || Lars,1.0
246,CTK BIOTECH INC || Imported by: BIOLORE LTDA.,1.0
247,CVRX Inc,1.0
248,BECKMAN  COULTER INC || Importer:ROCHEM BIOCARE COLOMBIA S.A,1.0
249,BECKMAN  COULTER INC. || Imported by:  ROCHEM  BIOCARE  COLOMBIA  S.A./ || ANÁLISIS TÉCNICOS LTDA,1.0
250,BECKMAN COULTER,1.0
251,BECKMAN COULTER || Importer: ROCHEM BIOCARE COLOMBIA S.A,1.0
252,BECKMAN COULTER || Imported by:    ANALISIS  TÉCNICOS  LTDA  Y  ROCHEM || BIOCARE DE COLOMBIA S.A.S,1.0
253,Beckman Coulter Inc,7.0
254,Beckman Coulter INC,1.0
255,BECKMAN COULTER INC || Importer: ROCHEM BIOCARE COLOMBIA S.A.S,1.0
256,BECKMAN COULTER INC || Imported by: ROCHEM BIOCARE COLOMBIA || S.A y  BECKMAN COULTER COLOMBIA S.A.S.,1.0
257,BECKMAN COULTER INC || Imported by: ROCHEM BIOCARE COLOMBIA || S.A.S,1.0
258,BECKMAN COULTER INC || Imported by:  ROCHEM BIOCARE COLOMBIA || S.A.S y  BECKMAN COULTER COLOMBIA S.A.S,1.0
259,Beckman Coulter INC.,2.0
260,Beckman Coulter Inc.,2.0
261,BECKMAN COULTER INC. || Imported by:  ROCHEM  BIOCARE  COLOMBIA || S.A.S.,1.0
262,BECKMAN COULTER INC. || Imported by: ROCHEM BIOCARE COLOMBIA S.A. || ANALISIS TECNICOS LTDA.,1.0
263,Beckman Coulter Ireland Inc || Beckman Coulter Inc,2.0
264,BECKMAN COULTER IRELAND INC. || Imported by:  ROCHEM  BIOCARE  COLOMBIA,1.0
265,BECKMAN COULTIER || Imported by:  Rochem  Biocare  Colombia  S.A.S/  Análisis || Técnicos Ltda,1.0
266,CEPHEID,2.0
267,CEPHEID || Importer: ROCHEM BIOCARE COLOMBIA S.A,1.0
268,CEPHEID || Importer: ROCHEM BIOCARE COLOMBIA S.A.S.,1.0
269,CEPHEID || Imported by: ROCHEM BIOCARE COLOMBIA.,1.0
270,CEPHEID AB || Importer: ROCHEM BIOCARE COLOMBIA S.A.S.,1.0
271,CEPHEID AB || Imported by:ROCHEM  BIOCARE  COLOMBIA || S.A.S,1.0
272,Cepheid AB. || Importer: ROCHEM BIOCARE COLOMBIA S.A.S.,1.0
273,Hemocue Ab,1.0
274,HEMOCUE AB. || Imported by:  SOLUCARE  DE  COLOMBIA  S.A.S || Y VITAL TECNOLOGIA MEDICA-VITAL.,1.0
275,"Implant Direct Sybron Manufacturing, Llc",1.0
276,IRIS DIAGNOSTIC DIVISION || Importer: ROCHEM BIOCARE COLOMBIA,2.0
277,Iris Diagnostics.,1.0
278,LEICA BIOSYSTEMS NEWCASTLE LTD || Importer: NOVO COLOMBIA LTDA,1.0
279,Leica Biosystems Nussloch GmBh,1.0
280,Leica Biosystems Nussloch Gmbh,1.0
281,Leica Biosystems Nussloch Gmbh || Leica Instruments Singapore Pte Limited || Leica Microsystems Ltd. Shanghai,1.0
282,RADIOMETER MEDICAL A.P.S || Importer: INSTRUMENTACION S.A,1.0
283,Radiometer Medical A.P.S.,2.0
284,RADIOMETER MEDICAL APS || Imported by: INSTRUMENTACION S.A.,1.0
285,CEPHEID EEUU || Importer: ROCHEM BIOCARE COLOMBIA S.A.S,1.0
286,Dentscare Ltda,2.0
287,"Dexcom, Inc",1.0
288,DIASORIN,1.0
289,Diasorin || Importer ANNAR DIAGNOSTICA IMPORT S.A.S.,1.0
290,DIASORIN INC || Importer: ANNAR DIAGNOSTICA IMPORT S.A.S.,1.0
291,DIASORIN S P A || Importer: ANNAR DIAGNOSTICA IMPORT S.A.S,1.0
292,DIASORIN S. P. A.,2.0
293,Diasorin S.P.A,3.0
294,DIASORIN S.P.A || Importer: ANNAR DIAGNOSTICA IMPORT S.A.S.,1.0
295,Diasorin S.P.A.,1.0
296,ESA BIOSCIENCES  INC || Imported by:  ANNAR  DIAGNOSTICA || IMPORT S.A S,1.0
297,Disposafe Health and Life Care Ltd,1.0
298,Dixtal Biomedica Industria y Comercio LTDA.,1.0
299,DRG INSTRUMENTS GMBH || Importer: FELGON LTDA,1.0
300,Edwards Lifesciences Llc,1.0
301,Edwards Lifesciences Llc || Edwards Lifesciences Ag,1.0
302,Elekta Instrument AB,2.0
303,Elekta Instrument Ab,1.0
304,Elekta Instruments Ab,1.0
305,Elekta Limited || Elekta Instrument Ab,10.0
306,Nucletron Operation B.V.,1.0
307,"Ella-Cs, S.R.O",1.0
308,Ellex Medical Pty Lyd,1.0
309,Endologix Inc,1.0
310,Endologix Inc.,1.0
311,ELITECH GROUP SEPPIM REAGENTS || Importer:   DISTRIQUIMICOS ALDIR S.A.S,1.0
312,Establishment Labs S.A.,1.0
313,Intersurgical Limited,2.0
314,Peters Surgical,2.0
315,Eurosilicone S.A.S.,1.0
316,Exactech Inc,1.0
317,Fisher & Paykel Healthcare Limited,2.0
318,"Fenwal, International Inc",1.0
319,Fresenius Kabi AG,1.0
320,"Fresenius Kabi Ag || Fresenius Kabi (Guangzhou) Co., Ltd || Fresenius Hemocare C.Z. S.R.O || Fresenius Hemocare Brasil Ltda. || Fresenius Hemocare Austria Gmbh || Fresenius Hemocare Netherlands B.V",1.0
321,"Fresenius Kabi Ag || Fresenius Kabi (Guangzhou) Co., Ltd. || Fresenius Hemocare C.Z. S.R.O || Fresenius Hemocare Brasil Ltda. || Fresenius Hemocare Austria Gmbh || Fresenius Hemocare Netherlands B.V",1.0
322,Fresenius Vial S.A.S,1.0
323,F. Stephan Gmbh Medizintechnik,1.0
324,Fujifilm Corporation,2.0
325,"Fujifilm Corporation || Fujifilm Techno Products Co, Ltd",1.0
326,"Fujifilm techno products co, ltd || Fujifilm corporation",2.0
327,"Fujifilm Techno Products Co, Ltd || Fujifilm Corporation",1.0
328,"GCE, S.R.O",1.0
329,"Ge Hang Wei Medical Systems Co Ltd. || Ge Medical Systems Israel - Functional Imaging || Ge Medical Systems, Llc. || Ge  Healthcare  Do  Brasil  Comércio  E  Servicos  Para || Equipamentos Medico-Hospitalares Ltda || Ge Healthcare Japan Corporation",1.0
330,"GE Healthcare, Division de General Electric Company || Ge Healthcare",1.0
331,"Ge Healthcare, Division De General Electric Company || Ge Healthcare",1.0
332,"GE Healthcare, Division de General Electric Company || GE Healthcare.",1.0
333,Ge Klinik Sistemier Tic A.S. || Ohmeda Medical,1.0
334,GE Klinik Sistemier Tic A.S. || Ohmeda Medical,1.0
335,GE Medical System,1.0
336,"GE Medical System, Llc. || GE Hang Wei Medical System Co Ltd || GE Healthcare Japan Corporation || GE  Healthcare  Do  Brasil  Comercio  e  Servicos  para || Equipamentos Medico – Hospitalares Ltda || GE Medical System, Israel – Functional Imaging",1.0
337,"GE Medical Systems China Co, Ltd || Datex - Ohmeda Inc.",1.0
338,"Ge Medical Systems China Co, Ltd. || Datex - Ohmeda Inc.",2.0
339,"GE Medical Systems China Co, Ltd. || Datex - Ohmeda Inc.",1.0
340,"Ge Medical Systems China Co, Ltd. || Datex - Ohmeda Inc. || Carefusion Finland 320 Oy ",1.0
